Name,Drive Type,Mileage (mpg),Fuel Type,Capacity (gal),Length (inches),Wheel Base (inches),Width (inches),Turning Circle (feet),Weight (lbs),Door Top (inches),Luggage (cu. ft.),Front Shoulder (inches),Front Leg Room (inches),Front Head Room (inches),Rear Shoulder (inches),Rear Leg Room (inches),Rear Head Room (inches)
Mercury Sable,Front,21,Regular,16.0,198,109,73,42,"3,340",50.5,17.0,58.0,41.0,6.0,57.0,29.5,3.0
Mercury Villager,Front,19,Regular,20.0,195,112,75,41,"3,995",60.0,56.5,63.0,40.0,4.5,64.0,28.5,5.5
Mitsubishi Diamante,Front,20,Premium,19.0,194,107,70,41,"3,575",49.5,14.0,56.0,41.0,3.5,57.0,27.0,1.5
Mitsubishi Galant,Front,24,Regular,16.3,188,104,69,40,"3,110",50.0,14.0,54.0,40.0,2.5,54.0,28.0,2.0
Mitsubishi Mirage,Front,27,Regular,13.2,174,98,67,36,"2,525",49.0,11.0,53.0,41.0,5.0,52.0,26.0,2.0
Nissan Altima,Front,22,Regular,15.7,186,103,69,40,"3,050",50.5,14.0,55.0,40.5,4.5,54.0,27.0,3.0
Nissan Maxima,Front,21,Premium,18.5,191,108,70,39,"3,315",51.0,15.0,57.0,41.5,3.0,56.0,29.5,2.0
Nissan Quest,Front,19,Regular,20.0,195,112,75,41,"3,995",60.0,56.5,63.0,40.0,4.5,64.0,28.5,5.5
Oldsmobile Alero,Front,23,Regular,15.0,187,107,70,39,"3,100",50.0,15.0,53.5,40.5,3.5,50.5,28.0,2.5
Oldsmobile Intrigue,Front,21,Regular,17.0,196,109,74,40,"3,490",51.0,16.0,58.0,40.5,3.0,56.0,27.0,2.0
Oldsmobile Silhouette,Front,19,Regular,25.0,201,120,72,42,"3,890",62.0,76.0,60.0,41.0,6.0,6.5,30.0,5.5
Pontiac Bonneville,Front,20,Regular,18.5,203,112,74,43,"3,640",51.0,18.0,58.5,40.5,2.5,57.0,27.0,2.0
Pontiac Grand Am,Front,23,Regular,15.0,186,107,70,39,"3,095",49.5,15.0,53.0,41.0,3.0,51.0,28.0,2.0
Pontiac Grand Prix,Front,21,Regular,18.0,197,111,73,40,"3,400",49.5,16.0,58.0,42.5,4.0,56.0,29.5,2.5
Pontiac Montana,Front,18,Regular,25.0,201,120,73,43,"4,005",62.5,76.0,60.0,41.0,6.0,61.5,30.5,6.0
Pontiac Sunfire,Front,26,Regular,15.2,182,104,68,38,"2,795",50.5,13.0,54.5,41.5,4.5,53.5,28.0,2.0
Saab 9-3,Front,22,Regular,17.0,182,103,67,36,"3,130",51.5,24.0,52.5,41.0,3.0,52.0,26.0,3.0
Saab 9-5,Front,23,Regular,19.8,189,106,71,38,"3,475",50.5,16.0,56.5,43.5,5.5,56.0,31.0,3.0
Saturn L-Series,Front,23,Regular,13.1,190,107,69,39,"3,020",51.0,13.0,55.5,41.5,3.0,55.0,28.5,3.5
Saturn S-Series,Front,29,Regular,12.1,177,102,67,41,"2,465",48.5,12.0,52.0,41.0,5.5,52.5,26.5,2.5
Saturn SC,Front,28,Regular,12.1,180,102,68,40,"2,420",47.5,11.0,52.5,41.5,4.0,50.0,25.5,0.5
Subaru Forester,Front,22,Regular,15.9,175,99,68,39,"3,195",54.5,35.5,54.0,41.5,6.0,54.0,28.0,5.5
Subaru Impreza,Front,23,Regular,15.9,172,99,67,36,"2,895",50.5,19.5,52.5,42.0,4.5,51.0,27.0,2.5
Subaru Legacy,Front,22,Regular,16.9,184,104,69,39,"3,300",50.0,12.0,54.0,40.5,4.0,52.5,29.0,2.0
Toyota Avalon,Front,21,Regular,18.5,192,107,72,40,"3,455",53.0,16.0,59.0,41.0,4.5,58.0,30.5,3.0
Toyota Camry,Front,25,Regular,18.5,189,105,70,40,"3,285",50.5,14.0,57.0,41.0,5.0,56.5,28.0,2.0
Toyota Camry Solara,Front,22,Regular,18.5,190,105,71,40,"3,285",50.5,14.0,55.5,41.0,4.5,52.5,27.5,1.5
Toyota Corolla,Front,30,Regular,13.2,174,97,67,34,"2,530",49.0,12.0,53.0,40.0,4.0,52.0,24.5,1.0
Toyota Land Cruiser,Front,14,Premium,25.4,193,112,76,42,"5,435",66.5,50.0,61.5,40.0,3.5,61.0,29.0,4.5
Toyota RAV4,Front,22,Regular,15.3,163,95,67,38,"3,000",59.0,28.0,53.0,39.5,3.5,52.5,24.5,4.5
Toyota Sienna,Front,19,Regular,21.0,194,114,73,44,"3,990",60.5,63.5,60.0,41.5,6.5,62.0,33.0,4.5
Volkswagen Jetta,Front,21,Regular,14.5,172,99,68,36,"2,940",51.0,13.0,54.0,41.0,4.0,52.5,25.5,1.5
Volkswagen New Beetle,Front,29,Regular,14.5,161,99,68,36,"2,780",52.5,12.0,52.0,42.5,8.0,48.0,27.5,0.5
Volkswagen Passat,Front,24,Premium,16.4,184,106,69,38,"3,175",51.0,15.0,55.5,42.5,6.5,53.5,29.0,3.0
Volvo S40/V40,Front,22,Regular,15.8,176,100,68,38,"2,960",50.0,13.0,54.5,41.0,4.5,53.5,26.5,2.5
Volvo S70/V70,Front,21,Regular,18.5,186,105,69,38,"3,305",50.0,15.0,56.0,42.5,3.0,56.5,30.0,3.0
Volvo S80,Front,21,Regular,21.1,190,110,72,40,"3,630",51.5,14.0,58.5,41.5,3.5,56.5,28.5,4.0
Audi A4,Front,22,Premium,15.9,178,103,68,36,"3,345",50.5,14.0,54.0,40.5,3.5,52.0,24.5,2.0
Audi A6,Front,20,Premium,18.5,192,109,71,39,"3,785",51.0,15.0,55.0,42.0,4.0,55.0,30.0,3.5
BMW 3-Series,Rear,24,Premium,16.6,176,107,69,36,"3,265",50.0,11.0,55.0,41.5,3.5,54.0,26.0,3.0
BMW 5-Series,Rear,20,Premium,18.5,188,111,71,38,"3,585",51.0,11.0,57.0,43.0,3.5,55.0,29.0,3.5
Cadillac Catera,Rear,20,Premium,18.0,192,108,70,36,"3,770",51.0,14.0,55.5,41.0,5.0,55.5,30.5,3.5
Chevrolet Blazer,Rear,15,Regular,18.0,183,107,68,46,"4,225",60.5,40.0,56.5,42.5,4.5,57.0,30.0,4.0
Ford Crown Victoria,Rear,19,Regular,19.0,212,115,78,44,"3,985",52.0,21.0,61.0,42.0,5.0,60.0,29.5,4.0
Ford Explorer,Rear,16,Regular,21.0,191,112,70,40,"4,325",62.0,52.0,56.5,43.0,5.0,56.5,30.5,4.5
Ford F-150,Rear,15,Regular,25.0,226,139,80,49,"5,210",70.5,NA,63.5,42.0,7.0,60.0,24.5,2.5
Ford Ranger,Rear,18,Regular,20.0,202,126,70,45,"3,870",60.0,NA,54.0,42.5,5.0,18.0,22.5,2.0
GMC Jimmy,Rear,15,Regular,18.0,184,107,68,46,"4,225",60.5,40.0,56.5,42.5,4.5,57.0,30.0,4.0
Honda Passport,Rear,18,Regular,21.1,177,106,70,41,"3,935",60.0,39.5,56.0,41.0,4.0,56.0,30.0,3.5
Jeep Cherokee,Rear,16,Regular,20.0,168,101,68,38,"3,540",58.5,36.5,54.5,40.5,3.5,54.5,26.0,4.0
Jeep Grand Cherokee,Rear,15,Regular,20.5,182,106,72,40,"4,190",60.5,37.0,58.0,40.0,3.5,57.0,27.0,2.5
Kia Sportage,Rear,19,Regular,15.8,170,104,68,37,"3,365",60.5,30.0,53.5,40.0,4.0,54.0,25.0,3.0
Lexus GS300/GS400,Rear,23,Premium,19.8,189,110,71,39,"3,745",51.0,15.0,58.0,42.5,2.5,56.0,29.0,2.0
Lincoln LS,Rear,23,Premium,18.1,194,115,73,39,"3,655",50.0,14.0,58.0,41.0,4.5,57.0,29.0,3.0
Lincoln Town Car,Rear,19,Premium,19.0,215,118,78,45,"4,050",51.5,21.0,61.0,42.5,5.0,60.0,32.0,3.5
Mercedes-Benz C-Class,Rear,24,Premium,16.4,177,106,68,35,"3,320",51.0,13.0,55.0,43.0,3.0,54.0,27.5,3.0
Mercedes-Benz E-Class,Rear,21,Premium,21.1,190,112,71,37,"3,930",53.0,15.0,56.5,42.0,4.5,56.0,28.0,3.5
Mercury Grand Marquis,Rear,19,Regular,19.0,212,115,78,44,"3,985",52.0,21.0,61.0,42.0,5.0,60.0,29.5,4.0
Mercury Mountaineer,Rear,16,Regular,20.8,190,112,70,41,"4,440",61.5,50.5,56.0,41.5,3.0,56.5,29.0,5.0
Suzuki Vitara,Rear,19,Regular,17.4,165,98,70,37,"3,230",60.5,28.0,53.0,39.0,4.5,52.5,24.0,4.5
Chevrolet Tracker,Rear,21,Regular ,17.4,163,98,67,37,"3,055",60.0,28.0,53.0,39.0,4.5,52.5,24.0,4.5
Ford Expedition,Rear,13,Regular,30.0,205,119,79,42,"5,290",69.5,70.0,63.5,42.0,5.5,63.5,33.5,5.5
Isuzu Rodeo,Rear,18,Regular,21.1,177,106,70,41,"3,935",60.0,39.5,56.0,41.0,4.0,56.0,30.0,3.5
Lincoln Navigator,Rear,13,Regular,30.0,205,119,80,44,"5,850",68.0,67.0,63.5,41.5,6.0,63.5,32.0,5.5
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
